file,line,current_cerr,message_template,context_function,classification,tag_composition,proposed_enum_name,wording_change
src/ast/ast_infer_type.cpp,543,too_many_arguments,"function has too many arguments, max allowed is DAS_MAX_FUNCTION_ARGUMENTS",InferTypes::preVisit(Function*),primary,exceeds | function | argument,exceeds_function_argument,
src/ast/ast_infer_type.cpp,547,no_init,[init] is disabled in the options or CodeOfPolicies,InferTypes::preVisit(Function*),primary,invalid | function | options,invalid_function_options,
src/ast/ast_infer_type.cpp,558,type_not_found,undefined function argument type <var>,InferTypes::preVisitArgument,primary,lookup | function | argument | type,lookup_function_argument_type,
src/ast/ast_infer_type.cpp,563,invalid_type,function argument type can't be declared void,InferTypes::preVisitArgument,primary,invalid | function | argument | type | void,invalid_function_argument_type_void,
src/ast/ast_infer_type.cpp,570,cant_infer_generic,function already exists in non-ref form,InferTypes::preVisitArgument,recategorize,already_declared | function,already_declared_function,recategorize: cant_infer_generic - actually a name collision; should be already_declared_function
src/ast/ast_infer_type.cpp,585,cant_infer_generic,"generic argument type can't be inferred, <var> = <var>",InferTypes::visitArgumentInit,primary,invalid | function | argument | type,invalid_function_argument_type,
src/ast/ast_infer_type.cpp,596,invalid_type,function argument default value type mismatch '<var>' vs '<var>',InferTypes::visitArgumentInit,primary,invalid | function | argument | type,invalid_function_argument_type,
src/ast/ast_infer_type.cpp,600,invalid_type,"function argument default value type mismatch '<var>' vs '<var>', reference matters",InferTypes::visitArgumentInit,primary,invalid | function | argument | type | ref,invalid_function_argument_type_ref,
src/ast/ast_infer_type.cpp,607,cant_infer_generic,unresolved generics are not supported,InferTypes::visitArgument,primary,not_resolved_yet | function,not_resolved_yet_function,
src/ast/ast_infer_type.cpp,620,expecting_return_value,function does not return a value,InferTypes::visit(Function*),primary,missing | function | result,missing_function_result,
src/ast/ast_infer_type.cpp,633,type_not_found,undefined function result type '<var>',InferTypes::visit(Function*),primary,lookup | function | result | type,lookup_function_result_type,
src/ast/ast_infer_type.cpp,639,invalid_return_type,not a valid function return type '<var>',InferTypes::visit(Function*),primary,invalid | function | result | type,invalid_function_result_type,
src/ast/ast_infer_type.cpp,658,invalid_return_type,this type can't be copied or moved. not a valid function return type,InferTypes::visit(Function*),primary,invalid | function | result | type,invalid_function_result_type,
src/ast/ast_infer_type.cpp,677,unspecified,fully inferred function has changed,InferTypes::visit(Function*),internal,internal | function,internal_function_changed,current cerr unspecified - should be internal_function_changed
src/ast/ast_infer_type.cpp,783,invalid_enumeration,enumeration value not inferred yet <var>,InferTypes::visit(ExprConst*),follow_on,not_resolved_yet | enumerator,not_resolved_yet_enumerator,
src/ast/ast_infer_type.cpp,843,type_not_found,goto label type can't be inferred,InferTypes::visit(ExprGoto*),follow_on,not_resolved_yet | label | type,not_resolved_yet_label_type,
src/ast/ast_infer_type.cpp,848,invalid_label,"label type has to be int, not <var>",InferTypes::visit(ExprGoto*),primary,invalid | label | type,invalid_label_type,
src/ast/ast_infer_type.cpp,871,invalid_label,can't find label <var>,InferTypes::visit(ExprReader*),primary,lookup | label,lookup_label,
src/ast/ast_infer_type.cpp,885,unsupported_read_macro,unsupported read macro <var>,InferTypes::visit(ExprReader*),primary,invalid | macro,invalid_macro_read,
src/ast/ast_infer_type.cpp,893,invalid_label,duplicate label <var>,InferTypes::preVisit(ExprLabel*),primary,already_declared | label,already_declared_label,
src/ast/ast_infer_type.cpp,936,invalid_type,can only dereference a reference,InferTypes::visit(ExprRef2Value*),recategorize,cant | expression,cant_dereference_value,recategorize: invalid_type - actually a deref fault; should be cant_dereference
src/ast/ast_infer_type.cpp,940,invalid_type,"can only dereference value types, not a <var>",InferTypes::visit(ExprRef2Value*),recategorize,cant | expression,cant_dereference_value,recategorize: invalid_type - should be cant_dereference
src/ast/ast_infer_type.cpp,961,type_not_found,undefined address expression type <var>,InferTypes::visit(ExprAddr*),primary,lookup | function | type,lookup_function_address_type,
src/ast/ast_infer_type.cpp,967,type_not_found,function of undefined type <var>,InferTypes::visit(ExprAddr*),primary,lookup | function | type,lookup_function_type,
src/ast/ast_infer_type.cpp,977,type_not_found,function of non-function type <var>,InferTypes::visit(ExprAddr*),recategorize,invalid | function | type,invalid_function_type,recategorize: type_not_found - actually wrong-type fault; should be invalid_function_type
src/ast/ast_infer_type.cpp,997,function_not_found,can't take address of a template function <var>,InferTypes::visit(ExprAddr*),recategorize,cant | function,cant_address_template_function,recategorize: function_not_found - actually a forbidden-op; should be cant_address_template_function
src/ast/ast_infer_type.cpp,1007,function_not_found,function not found <var>,InferTypes::visit(ExprAddr*),primary,lookup | function,lookup_function,
src/ast/ast_infer_type.cpp,1012,function_not_found,function not found <var>,InferTypes::visit(ExprAddr*),mid_inference,lookup | function,lookup_function,
src/ast/ast_infer_type.cpp,1036,type_not_found,can't get address of builtin function <var>,InferTypes::visit(ExprAddr*),recategorize,cant | function,cant_address_builtin_function,recategorize: type_not_found - actually forbidden; should be cant_address_builtin_function
src/ast/ast_infer_type.cpp,1054,type_not_found,dereference type can't be inferred,InferTypes::visit(ExprPtr2Ref*),follow_on,not_resolved_yet | expression | type,not_resolved_yet_dereference_type,
src/ast/ast_infer_type.cpp,1059,cant_dereference,can only dereference a pointer,InferTypes::visit(ExprPtr2Ref*),primary,cant | expression,cant_dereference,
src/ast/ast_infer_type.cpp,1062,cant_dereference,can only dereference a pointer to something,InferTypes::visit(ExprPtr2Ref*),primary,cant | expression,cant_dereference_void_ptr,
src/ast/ast_infer_type.cpp,1078,cant_dereference,can only make a pointer of a reference,InferTypes::visit(ExprRef2Ptr*),primary,cant | expression,cant_take_pointer_of_value,
src/ast/ast_infer_type.cpp,1099,unsafe,address of reference requires unsafe,InferTypes::visit(ExprRef2Ptr*),primary,unsafe | expression,unsafe_address_of_reference,
src/ast/ast_infer_type.cpp,1153,type_not_found,null coalescing type can't be inferred,InferTypes::visit(ExprNullCoalescing*),follow_on,not_resolved_yet | expression | type,not_resolved_yet_null_coalescing_type,
src/ast/ast_infer_type.cpp,1159,cant_dereference,can only dereference a pointer,InferTypes::visit(ExprNullCoalescing*),primary,cant | expression,cant_dereference,
src/ast/ast_infer_type.cpp,1162,cant_dereference,can only dereference a pointer to something,InferTypes::visit(ExprNullCoalescing*),primary,cant | expression,cant_dereference_void_ptr,
src/ast/ast_infer_type.cpp,1165,cant_dereference,default value type mismatch in <var> vs <var>,InferTypes::visit(ExprNullCoalescing*),recategorize,invalid | expression | type,invalid_null_coalescing_type,recategorize: cant_dereference - actually type-mismatch; should be invalid_null_coalescing_type
src/ast/ast_infer_type.cpp,1168,cant_dereference,"default value type mismatch, constant matters in <var> vs <var>",InferTypes::visit(ExprNullCoalescing*),recategorize,invalid | expression | type,invalid_null_coalescing_type,recategorize: cant_dereference - actually type-mismatch
src/ast/ast_infer_type.cpp,1192,invalid_argument_count,"static_assert(expr) or static_assert(expr,string)",InferTypes::visit(ExprStaticAssert*),primary,invalid | argument,invalid_static_assert_argument_count,
src/ast/ast_infer_type.cpp,1199,type_not_found,static_assert argument type can't be inferred,InferTypes::visit(ExprStaticAssert*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1204,invalid_argument_type,static assert condition must be boolean,InferTypes::visit(ExprStaticAssert*),primary,invalid | argument | type,invalid_static_assert_condition_type,
src/ast/ast_infer_type.cpp,1207,invalid_argument_type,static assert comment must be string constant,InferTypes::visit(ExprStaticAssert*),primary,invalid | argument | type,invalid_static_assert_comment_type,
src/ast/ast_infer_type.cpp,1233,concept_failed,<var>,InferTypes::visit(ExprStaticAssert*),mid_inference,runtime | macro,concept_failed,
src/ast/ast_infer_type.cpp,1239,static_assert_failed,<var>,InferTypes::visit(ExprStaticAssert*),mid_inference,runtime | macro,static_assert_failed,
src/ast/ast_infer_type.cpp,1260,invalid_argument_count,"assert(expr) or assert(expr,string)",InferTypes::visit(ExprAssert*),primary,invalid | argument,invalid_assert_argument_count,
src/ast/ast_infer_type.cpp,1267,type_not_found,assert argument type can't be inferred,InferTypes::visit(ExprAssert*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1272,invalid_argument_type,assert condition must be boolean,InferTypes::visit(ExprAssert*),primary,invalid | argument | type,invalid_assert_condition_type,
src/ast/ast_infer_type.cpp,1275,invalid_argument_type,assert comment must be string constant,InferTypes::visit(ExprAssert*),primary,invalid | argument | type,invalid_assert_comment_type,
src/ast/ast_infer_type.cpp,1283,invalid_argument_count,quote(expr) only. can only return one expression tree,InferTypes::visit(ExprQuote*),primary,invalid | argument,invalid_quote_argument_count,
src/ast/ast_infer_type.cpp,1306,invalid_argument_count,"debug(expr) or debug(expr,string)",InferTypes::visit(ExprDebug*),primary,invalid | argument,invalid_debug_argument_count,
src/ast/ast_infer_type.cpp,1312,invalid_argument_type,debug comment must be string constant,InferTypes::visit(ExprDebug*),primary,invalid | argument | type,invalid_debug_comment_type,
src/ast/ast_infer_type.cpp,1325,invalid_argument_count,memzero(ref expr),InferTypes::visit(ExprMemZero*),primary,invalid | argument,invalid_memzero_argument_count,
src/ast/ast_infer_type.cpp,1332,invalid_argument_type,memzero argument must be reference,InferTypes::visit(ExprMemZero*),primary,invalid | argument | type | ref,invalid_memzero_argument_type_ref,
src/ast/ast_infer_type.cpp,1335,invalid_argument_type,memzero argument can't be constant,InferTypes::visit(ExprMemZero*),primary,invalid | argument | type,invalid_memzero_argument_const,
src/ast/ast_infer_type.cpp,1357,function_not_found,ambiguous call macro <var>,InferTypes::visit(ExprInvoke*),primary,ambiguous | macro,ambiguous_call_macro,
src/ast/ast_infer_type.cpp,1433,function_not_found,too many candidates for super call <var>,InferTypes::visit(ExprInvoke*),mid_inference,ambiguous | function,ambiguous_super_call,
src/ast/ast_infer_type.cpp,1440,function_not_found,call to super in <var> is not allowed,InferTypes::visit(ExprInvoke*),primary,lookup | function,lookup_super_method,
src/ast/ast_infer_type.cpp,1444,function_not_found,call to super in <var> is not allowed,InferTypes::visit(ExprInvoke*),primary,invalid | function,invalid_super_call_no_base,
src/ast/ast_infer_type.cpp,1450,function_not_found,"can't infer method call, field type is not inferred yet",InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | function,not_resolved_yet_method_call,
src/ast/ast_infer_type.cpp,1580,invalid_argument_count,recursive call in argument initializer,InferTypes::visit(ExprInvoke*),primary,recursion | function | argument,recursion_function_argument,
src/ast/ast_infer_type.cpp,1601,invalid_argument_count,'<var>' is not fully resolved yet,InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | function,not_resolved_yet_function,
src/ast/ast_infer_type.cpp,1605,invalid_argument_count,expecting class_ptr or cast<auto> class_ptr,InferTypes::visit(ExprInvoke*),primary,invalid | argument | type,invalid_invoke_argument_type,
src/ast/ast_infer_type.cpp,1617,invalid_argument_count,'<var>->.<var>' expecting function,InferTypes::visit(ExprInvoke*),primary,invalid | function | type,invalid_invoke_target_type,
src/ast/ast_infer_type.cpp,1620,invalid_argument_count,'<var>->.<var>' expecting function,InferTypes::visit(ExprInvoke*),wording_fix,invalid | function | type,invalid_invoke_target_type,duplicate error call - line 1617 already emitted same error; remove duplicate
src/ast/ast_infer_type.cpp,1624,invalid_argument_count,'<var>->.<var>' not found,InferTypes::visit(ExprInvoke*),primary,lookup | function,lookup_method,
src/ast/ast_infer_type.cpp,1628,invalid_argument_count,expecting class->method,InferTypes::visit(ExprInvoke*),primary,invalid | expression,invalid_invoke_method_syntax,
src/ast/ast_infer_type.cpp,1632,invalid_argument_count,class type is not inferred yet,InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | type,not_resolved_yet_class_type,
src/ast/ast_infer_type.cpp,1636,invalid_argument_count,expecting class.method in the method invoke,InferTypes::visit(ExprInvoke*),primary,invalid | expression,invalid_invoke_method_syntax,
src/ast/ast_infer_type.cpp,1640,invalid_argument_count,"expecting <var> arguments, got <var>",InferTypes::visit(ExprInvoke*),primary,invalid | argument,invalid_invoke_argument_count,
src/ast/ast_infer_type.cpp,1659,invalid_argument_count,expecting invoke(block_or_function_or_lambda) or invoke(...),InferTypes::visit(ExprInvoke*),primary,invalid | argument,invalid_invoke_argument_count,
src/ast/ast_infer_type.cpp,1667,invalid_argument_type,invoke argument type can't be inferred,InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_invoke_argument_type,
src/ast/ast_infer_type.cpp,1672,invalid_argument_type,invoke argument not fully inferred <var>,InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_invoke_argument_type,
src/ast/ast_infer_type.cpp,1687,invalid_argument_type,"expecting block, or function, or lambda, or string, not a <var>",InferTypes::visit(ExprInvoke*),primary,invalid | argument | type,invalid_invoke_target_type,
src/ast/ast_infer_type.cpp,1692,invalid_argument_count,"invalid number of arguments, expecting <var>",InferTypes::visit(ExprInvoke*),primary,invalid | argument,invalid_invoke_argument_count,
src/ast/ast_infer_type.cpp,1702,invalid_argument_type,invoke argument <var> type can't be inferred,InferTypes::visit(ExprInvoke*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_invoke_argument_type,
src/ast/ast_infer_type.cpp,1709,invalid_argument_type,incompatible argument <var>,InferTypes::visit(ExprInvoke*),primary,invalid | argument | type,invalid_invoke_argument_type,
src/ast/ast_infer_type.cpp,1752,invalid_argument_count,"insert(table,key)",InferTypes::visit(ExprSetInsert*),primary,invalid | argument,invalid_insert_argument_count,
src/ast/ast_infer_type.cpp,1761,type_not_found,argument type can't be inferred,InferTypes::visit(ExprSetInsert*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1767,invalid_argument_type,"key must be of the same type as table<key,...>",InferTypes::visit(ExprSetInsert*),primary,invalid | argument | type | table,invalid_table_key_type,
src/ast/ast_infer_type.cpp,1771,invalid_argument_type,first argument must be fully qualified table,InferTypes::visit(ExprSetInsert*),primary,invalid | argument | type | table,invalid_table_argument_type,
src/ast/ast_infer_type.cpp,1784,invalid_argument_count,"eraseKey(table,key)",InferTypes::visit(ExprErase*),primary,invalid | argument,invalid_erase_argument_count,
src/ast/ast_infer_type.cpp,1793,type_not_found,argument type can't be inferred,InferTypes::visit(ExprErase*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1799,invalid_argument_type,"key must be of the same type as table<key,...>",InferTypes::visit(ExprErase*),primary,invalid | argument | type | table,invalid_table_key_type,
src/ast/ast_infer_type.cpp,1803,invalid_argument_type,first argument must be fully qualified table,InferTypes::visit(ExprErase*),primary,invalid | argument | type | table,invalid_table_argument_type,
src/ast/ast_infer_type.cpp,1816,invalid_argument_count,"findKey(table,key)",InferTypes::visit(ExprFind*),primary,invalid | argument,invalid_find_argument_count,
src/ast/ast_infer_type.cpp,1825,type_not_found,argument type can't be inferred,InferTypes::visit(ExprFind*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1831,invalid_argument_type,"key must be of the same type as table<key,...>",InferTypes::visit(ExprFind*),primary,invalid | argument | type | table,invalid_table_key_type,
src/ast/ast_infer_type.cpp,1836,invalid_argument_type,first argument must be fully qualified table,InferTypes::visit(ExprFind*),primary,invalid | argument | type | table,invalid_table_argument_type,
src/ast/ast_infer_type.cpp,1850,invalid_argument_count,"keyExists(table,key)",InferTypes::visit(ExprKeyExists*),primary,invalid | argument,invalid_key_exists_argument_count,
src/ast/ast_infer_type.cpp,1859,type_not_found,argument type can't be inferred,InferTypes::visit(ExprKeyExists*),follow_on,not_resolved_yet | argument | type,not_resolved_yet_argument_type,
src/ast/ast_infer_type.cpp,1865,invalid_argument_type,"key must be of the same type as table<key,...>",InferTypes::visit(ExprKeyExists*),primary,invalid | argument | type | table,invalid_table_key_type,
src/ast/ast_infer_type.cpp,1869,invalid_argument_type,first argument must be fully qualified table,InferTypes::visit(ExprKeyExists*),primary,invalid | argument | type | table,invalid_table_argument_type,
src/ast/ast_infer_type.cpp,1884,type_not_found,is expression type can't be inferred,InferTypes::visit(ExprIs*),follow_on,not_resolved_yet | expression | type,not_resolved_yet_is_expression_type,
src/ast/ast_infer_type.cpp,1896,type_not_found,is <var> can't be inferred,InferTypes::visit(ExprIs*),follow_on,not_resolved_yet | expression | type,not_resolved_yet_is_expression_type,
src/ast/ast_infer_type.cpp,1907,type_not_found,undefined is expression type <var>,InferTypes::visit(ExprIs*),primary,lookup | expression | type,lookup_is_expression_type,
src/ast/ast_infer_type.cpp,1913,typeinfo_auto,is ... auto is undefined,InferTypes::visit(ExprIs*),primary,invalid | expression | type | auto,invalid_is_expression_auto,
src/ast/ast_infer_type.cpp,1918,type_not_found,is <var> can't be fully inferred,InferTypes::visit(ExprIs*),follow_on,not_resolved_yet | expression | type,not_resolved_yet_is_expression_type,
src/ast/ast_infer_type.cpp,1942,type_not_found,undefined type<<var>>,InferTypes::visit(ExprTypeDecl*),primary,lookup | type,lookup_type,
src/ast/ast_infer_type.cpp,1948,type_not_found,type<<var>> can't be fully inferred,InferTypes::visit(ExprTypeDecl*),follow_on,not_resolved_yet | type,not_resolved_yet_type,
src/ast/ast_infer_type.cpp,1976,type_not_found,typeinfo(<var>) can't be inferred,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type,not_resolved_yet_typeinfo,
src/ast/ast_infer_type.cpp,1989,type_not_found,undefined typeinfo type expression type <var>,InferTypes::visit(ExprTypeInfo*),primary,lookup | macro | type,lookup_typeinfo_type,
src/ast/ast_infer_type.cpp,1995,typeinfo_auto,typeinfo(... auto) is undefined,InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type | auto,invalid_typeinfo_auto,
src/ast/ast_infer_type.cpp,2000,type_not_found,typeinfo(<var>) can't be fully inferred,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type,not_resolved_yet_typeinfo,
src/ast/ast_infer_type.cpp,2011,invalid_type,typeinfo(sizeof <var>) is not fully inferred yet,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type,not_resolved_yet_typeinfo_sizeof,
src/ast/ast_infer_type.cpp,2016,invalid_type,typeinfo(sizeof <var>) is too big,InferTypes::visit(ExprTypeInfo*),primary,exceeds | macro | type,exceeds_typeinfo_sizeof,
src/ast/ast_infer_type.cpp,2026,invalid_type,typeinfo(alignof <var>) is not fully inferred yet,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type,not_resolved_yet_typeinfo_alignof,
src/ast/ast_infer_type.cpp,2037,type_not_found,typeinfo(dim <var>) is not fully inferred,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type,not_resolved_yet_typeinfo_dim,
src/ast/ast_infer_type.cpp,2045,typeinfo_dim,"typeinfo(dim non_array) is prohibited, <var>",InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type,invalid_typeinfo_dim,
src/ast/ast_infer_type.cpp,2050,type_not_found,typeinfo(dim_table_value <var>) is not a table type,InferTypes::visit(ExprTypeInfo*),recategorize,invalid | macro | type | table,invalid_typeinfo_dim_table_type,recategorize: type_not_found - actually wrong-type fault
src/ast/ast_infer_type.cpp,2055,type_not_found,typeinfo(dim_table_value <var>) is not a table type with value,InferTypes::visit(ExprTypeInfo*),recategorize,invalid | macro | type | table,invalid_typeinfo_dim_table_type,recategorize: type_not_found - actually wrong-type fault
src/ast/ast_infer_type.cpp,2060,type_not_found,typeinfo(dim_table_value <var>) is not fully inferred,InferTypes::visit(ExprTypeInfo*),follow_on,not_resolved_yet | macro | type | table,not_resolved_yet_typeinfo_dim_table,
src/ast/ast_infer_type.cpp,2068,typeinfo_dim,"typeinfo(dim_table_value table<...,non_array>) is prohibited, <var>",InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type | table,invalid_typeinfo_dim_table,
src/ast/ast_infer_type.cpp,2078,invalid_type,"variant_index only valid for variant, not for <var>",InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type | variant,invalid_typeinfo_variant_index_type,
src/ast/ast_infer_type.cpp,2090,typeinfo_undefined,variant_index variant <var> not found in <var>,InferTypes::visit(ExprTypeInfo*),primary,lookup | variant,lookup_variant_field,
src/ast/ast_infer_type.cpp,2096,typeinfo_undefined,mangled name requires subexpression,InferTypes::visit(ExprTypeInfo*),primary,missing | macro | expression,missing_typeinfo_subexpression,
src/ast/ast_infer_type.cpp,2102,typeinfo_undefined,mangled name of unknown @@function,InferTypes::visit(ExprTypeInfo*),primary,lookup | function,lookup_function_mangled_name,
src/ast/ast_infer_type.cpp,2109,typeinfo_undefined,unsupported mangled name subexpression,InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | expression,invalid_typeinfo_mangled_subexpression,
src/ast/ast_infer_type.cpp,2115,typeinfo_undefined,is argument requires subexpression,InferTypes::visit(ExprTypeInfo*),primary,missing | macro | expression,missing_typeinfo_subexpression,
src/ast/ast_infer_type.cpp,2153,typeinfo_undefined,can't get struct_name of <var>,InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type,invalid_typeinfo_struct_name,
src/ast/ast_infer_type.cpp,2162,typeinfo_undefined,can't get struct_modulename of <var>,InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type,invalid_typeinfo_struct_modulename,
src/ast/ast_infer_type.cpp,2332,typeinfo_undefined,typeinfo(has_field<<var>> ...) is only defined for structures and handled types,InferTypes::visit(ExprTypeInfo*),primary,invalid | macro | type | structure,invalid_typeinfo_has_field_type,
